Destination	Land	Kategorie (Primär)	Flugpreise	Sicherheitsindex	Flugzeit (ab ZRH)	Beschreibung
Lissabon	Portugal	Stadt / Meer	220	0.2	2.8	Portugals charmante Hauptstadt mit historischen Strassenbahnen, bunten Vierteln und Aussichtspunkten über den Tejo. Bekannt für Fado-Musik, frische Pastéis de Nata und entspannte Atlantik-Atmosphäre.
Porto	Portugal	Stadt / Meer	240	0.2	2.7	Romantische Hafenstadt am Douro mit pastellfarbenen Häusern, weltberühmten Portweinkellern und der ikonischen Eisenbrücke Ponte Luís I. Perfekt für Geniesser und Architektur-Fans.
Faro	Portugal	Meer / Natur	260	0.2	3.0	Tor zur Algarve mit goldenen Sandstränden, Lagunenlandschaft und mediterraner Altstadt. Ideal für Strandurlaub, Bootsausflüge und ruhiges Naturerlebnis.
Madrid	Spanien	Stadt	180	2.7	2.2	Spaniens lebhafte Hauptstadt mit Weltklasse-Museen wie dem Prado, eleganten Plätzen und ausgeprägter Tapas- und Nachtkultur. Eine Stadt, die niemals schläft.
Barcelona	Spanien	Stadt / Meer	160	2.7	1.8	Katalanische Metropole am Mittelmeer mit Gaudís Sagrada Família, kreativer Architektur und Stadtstränden. Mischung aus Kultur, Kulinarik und Strandfeeling.
Valencia	Spanien	Meer / Stadt	210	2.7	2.0	Sonniges Mittelmeerziel mit futuristischer Stadt der Künste, langen Stränden und der Heimat der Paella. Familienfreundlich und entspannter als Barcelona.
Sevilla	Spanien	Stadt / Kultur	250	2.7	2.5	Andalusisches Juwel mit maurischen Palästen, Flamenco-Tradition und der grössten gotischen Kathedrale der Welt. Im Frühling besonders bezaubernd.
Palma de Mallorca	Spanien	Meer	150	2.7	1.8	Hauptstadt der Baleareninsel mit imposanter Kathedrale, malerischer Altstadt und unzähligen Buchten in der Umgebung. Klassisches Sonne-und-Meer-Ziel.
Paris	Frankreich	Stadt	140	2.8	1.3	Die Stadt der Liebe mit Eiffelturm, Louvre und Champs-Élysées. Kulinarische Hauptstadt Europas und ein Muss für Kunst-, Mode- und Architekturfreunde.
Nizza	Frankreich	Meer / Stadt	180	2.8	1.2	Glamouröse Perle der Côte d'Azur mit Promenade des Anglais, mildem Klima und mediterranem Flair. Ausgangspunkt für Ausflüge nach Monaco und Cannes.
Lyon	Frankreich	Stadt / Kultur	160	2.8	1.0	Kulinarische Hauptstadt Frankreichs mit UNESCO-geschützter Altstadt, traditionellen Bouchons und römischer Geschichte. Geheimtipp zwischen Paris und der Provence.
Bordeaux	Frankreich	Stadt / Natur	200	2.8	1.6	Weltbekannte Weinregion mit eleganter Innenstadt aus dem 18. Jahrhundert und der Garonne als Lebensader. Genuss pur für Wein- und Architekturliebhaber.
Rom	Italien	Stadt / Kultur	170	4.6	1.5	Die Ewige Stadt mit Kolosseum, Vatikan und unzähligen historischen Schätzen an jeder Ecke. Ein Open-Air-Museum mit unvergleichlicher Pasta- und Pizzakultur.
Mailand	Italien	Stadt / Mode	120	4.6	0.8	Italiens Mode- und Designhauptstadt mit gotischem Mailänder Dom, Da Vincis Abendmahl und exquisiten Boutiquen. Kosmopolitisch und stilbewusst.
